Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported,Latitude,Longitude
Connecticut River,WESTFIELD,Westfield,GRA220,1908,2015,1296,46,0.9645061728395061,42.611000000000004,70.68011111111112
Western,HOUSATONIC,Great Barrington,GRE112,1964,1998,420,23,0.9452380952380952,42.611000000000004,70.68011111111112
Western,HOUSATONIC,Great Barrington,GRE114,1994,2015,204,5,0.9754901960784313,42.611000000000004,70.68011111111112
Connecticut River,DEERFIELD,Greenfield,GRE203,1926,2015,1080,80,0.9259259259259259,42.57183333333334,72.59941666666666
Western,HOUSATONIC,South Egremont,GRENWS,1964,2015,624,88,0.858974358974359,42.57183333333334,72.59941666666666
Northeast,MERRIMACK,Groveland,GRONWS,1992,2015,288,23,0.9201388888888888,42.74675,71.04322222222223
Central,CHICOPEE,Gilbertville,HAR420,1920,2015,1152,144,0.875,42.34583333333334,72.15416666666667
Central,CHICOPEE,Hardwick,HAR421,1942,2015,888,76,0.9144144144144144,42.34583333333334,72.15416666666667
Cape Cod and Islands,CAPE COD,Harwich,HAR910,1950,2019,840,62,0.9261904761904762,41.68258333333333,70.05255555555556
Northeast,MERRIMACK,Haverhill,HAV555,2008,2017,120,4,0.9666666666666667,41.68258333333333,70.05255555555556
Northeast,MERRIMACK,Haverhill,HAVNWS,1900,2015,1368,101,0.9261695906432749,42.7595,71.06072222222222
Connecticut River,DEERFIELD,Heath,HEA201,1919,2015,1164,73,0.9372852233676976,42.7595,71.06072222222222
Northeast,BOSTON HARBOR,Hingham,HIN724,1917,2019,1236,137,0.88915857605178,42.19799999999999,70.8805
Northeast,BOSTON HARBOR,Hingham,HINNWS,1992,2015,288,21,0.9270833333333334,42.227000000000004,70.91258333333334
Connecticut River,CONNECTICUT,Holyoke,HOL217,1897,2015,1428,115,0.9194677871148459,42.227000000000004,70.91258333333334
Central,NASHUA,Holden,HOL423,1912,2019,1296,76,0.941358024691358,42.334472222222225,71.89255555555556
Central,NASHUA,W. Boylston,HOLMDC,1966,2015,600,7,0.9883333333333333,42.334472222222225,71.89255555555556
Cape Cod and Islands,CAPE COD,Hyannis,HYANWS,1946,2015,840,30,0.9642857142857143,41.66555555555556,70.30419444444445
Northeast,IPSWICH,Ipswich,IPS606,1911,2015,1260,126,0.9,41.66555555555556,70.30419444444445
Connecticut River,WESTFIELD,Huntington,KNICOE,1940,2015,900,140,0.8444444444444444,41.66555555555556,70.30419444444445
Southeast,TAUNTON,Lakeville,LAK810,1894,2019,1512,119,0.9212962962962963,41.852833333333336,70.96888888888888
Western,HOUSATONIC,Lanesborough,LANNWS,1992,1996,60,6,0.9,41.852833333333336,70.96888888888888
Northeast,MERRIMACK,Andover,LAWNWS,1856,2015,1716,124,0.9277389277389277,42.69947222222222,71.16625
Central,NASHUA,Leominster,LEO517,1965,2019,660,48,0.9272727272727272,42.522888888888886,71.73830555555556
Northeast,MERRIMACK,Littleton,LIT506,1918,2019,1224,73,0.940359477124183,42.53375,71.51272222222222
Connecticut River,WESTFIELD,Huntington,LITCOE,1984,2015,384,20,0.9479166666666666,42.53375,71.51272222222222
Northeast,MERRIMACK,Lowell,LOWNWS,1855,2015,1932,205,0.8938923395445134,42.640972222222224,71.36397222222222
Connecticut River,CHICOPEE,Ludlow,LUD318,1875,2019,1740,122,0.9298850574712644,42.20033333333333,72.43402777777779
Central,NASHUA,Lunenburg,LUN518,1987,2015,348,15,0.9568965517241379,42.587611111111116,71.69819444444445
Northeast,NORTH COASTAL,Lynn,LYN614,1872,2019,1776,73,0.9588963963963963,42.475944444444444,70.97197222222222
Northeast,NORTH COASTAL,Manchester,MAN610,1913,1997,1020,126,0.8764705882352941,42.475944444444444,70.97197222222222
Southeast,TEN MILE,Mansfield,MAN799,1976,2019,528,96,0.8181818181818181,42.01097222222222,71.28375
Southeast,TAUNTON,Mansfield,MAN802,1921,2019,1188,95,0.92003367003367,42.04358333333333,71.19888888888889
Northeast,NORTH COASTAL,Manchester,MANACO,1995,1996,24,0,1.0,42.04358333333333,71.19888888888889
Northeast,CONCORD,Marlboro,MAR512,1900,2019,1440,126,0.9125,42.31361111111111,71.58152777777778
Northeast,NORTH COASTAL,Marblehead,MARNWS,1992,2015,288,44,0.8472222222222222,42.31361111111111,71.58152777777778
Northeast,CONCORD,Maynard,MAY516,1964,2015,624,15,0.9759615384615384,42.42988888888889,71.44088888888889
Southeast,CHARLES,Medway,MEDNWS,1992,2015,288,26,0.9097222222222222,42.42988888888889,71.44088888888889
Northeast,MERRIMACK,Methuen,METACO,1995,2015,192,15,0.921875,42.42988888888889,71.44088888888889
Southeast,TAUNTON,Middleborough,MID809,1886,2015,1560,87,0.9442307692307692,41.88191666666667,70.90886111111112
Northeast,IPSWICH,Middleton,MIDNWS,1925,2015,1092,129,0.8818681318681318,42.59419444444445,71.02108333333334
Southeast,CHARLES,Milford,MIL513,1915,2015,1212,100,0.9174917491749175,42.16144444444444,71.51219444444445
Southeast,CHARLES,Millis,MIL721,1920,2019,1200,84,0.9299999999999999,42.16911111111111,71.33997222222222
Northeast,BOSTON HARBOR,Milton,MILNWS,1885,2015,1572,45,0.9713740458015268,42.21255555555556,71.11433333333333
