,COH,LYN,WEY
slope,0.13947857753418702,0.05498048215648701,0.15747592727186838
intercept,0.23895005923336737,0.22314694563888962,0.25414439446551784
rvalue,0.27821706304225075,0.15385296664522605,0.29757604870235665
pvalue,8.016178144679356e-08,0.003428595198387946,8.541035773832446e-09
stderr,0.0254500034422494,0.018662048315550742,0.026701813259989472
