,COH,LYN,WEY
slope,0.17860448728227618,0.20317366249727692,0.2151549212888016
intercept,0.22939621984879083,0.17184550784182084,0.2438913350334158
rvalue,0.42878519231850987,0.45858546326176747,0.4510848469955824
pvalue,4.674716181207228e-16,3.453988288595745e-19,2.4179492117749696e-16
stderr,0.020873443724275503,0.021352000139672648,0.024742649540920876
