,Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported
2440,Connecticut River,DEERFIELD,Colrain,COLNWS,1975,1996,264,0,1.0
2462,Northeast,CONCORD,Concord,CON704,1891,2019,1548,0,1.0
2591,Western,HOUSATONIC,Dalton,DAL104,1906,2015,1320,0,1.0
2701,Southeast,BUZZARDS BAY,North Dartmouth,DAR818,1958,2019,744,0,1.0
2763,Central,BLACKSTONE,Douglas,DOU511,1995,2015,252,0,1.0
2838,Cape Cod and Islands,ISLANDS,Vineyard Haven,EDG907,1947,2015,828,69,0.9166666666666666
2907,Connecticut River,MILLERS,Erving,ERV303,1994,2015,264,0,1.0
2929,Southeast,BUZZARDS BAY,East Wareham,EWANWS,1927,2015,1068,0,1.0
3018,Cape Cod and Islands,CAPE COD,Otis ANGB,FAL903,1919,2015,1164,0,1.0
3115,Cape Cod and Islands,CAPE COD,Falmouth,FAL904,1956,2019,768,0,1.0
3275,Southeast,BOSTON HARBOR,Foxborough,FOX732,1953,2015,756,126,0.8333333333333334
3338,Southeast,CHARLES,Franklin,FRA728,1922,2015,1128,0,1.0
3432,Central,MILLERS,Gardner,GAR406,1906,2015,1320,0,1.0
3542,Northeast,NORTH COASTAL,Gloucester,GLO615,1915,2019,1260,0,1.0
3647,Connecticut River,CONNECTICUT,Williamsburg,GOS207,1994,2015,264,0,1.0
3669,Connecticut River,WESTFIELD,Westfield,GRA220,1908,2015,1296,0,1.0
3777,Western,HOUSATONIC,Great Barrington,GRE112,1964,1998,420,175,0.5833333333333333
3812,Western,HOUSATONIC,Great Barrington,GRE114,1994,2015,204,34,0.8333333333333334
3829,Connecticut River,DEERFIELD,Greenfield,GRE203,1926,2015,1080,0,1.0
3919,Western,HOUSATONIC,South Egremont,GRENWS,1964,2015,624,0,1.0
3971,Northeast,MERRIMACK,Groveland,GRONWS,1992,2015,288,0,1.0
3995,Central,CHICOPEE,Gilbertville,HAR420,1920,2015,1152,96,0.9166666666666666
4091,Central,CHICOPEE,Hardwick,HAR421,1942,2015,888,0,1.0
4165,Cape Cod and Islands,CAPE COD,Harwich,HAR910,1950,2019,840,0,1.0
4235,Northeast,MERRIMACK,Haverhill,HAV555,2008,2017,120,0,1.0
4245,Northeast,MERRIMACK,Haverhill,HAVNWS,1900,2015,1368,0,1.0
4359,Connecticut River,DEERFIELD,Heath,HEA201,1919,2015,1164,0,1.0
