Region,Basin Name,CITY,STATION,First_year_collected,Last_year_collected,Months_sampled,Months_not_reported,Percent_months_reported
Northeast,NORTH COASTAL,Marblehead,MARNWS,1992,2015,288,0,1.0
Northeast,CONCORD,Maynard,MAY516,1964,2015,624,0,1.0
Southeast,CHARLES,Medway,MEDNWS,1992,2015,288,0,1.0
Northeast,MERRIMACK,Methuen,METACO,1995,2015,192,16,0.9166666666666666
Southeast,TAUNTON,Middleborough,MID809,1886,2015,1560,0,1.0
Northeast,IPSWICH,Middleton,MIDNWS,1925,2015,1092,0,1.0
Southeast,CHARLES,Milford,MIL513,1915,2015,1212,0,1.0
Southeast,CHARLES,Millis,MIL721,1920,2019,1200,0,1.0
Northeast,BOSTON HARBOR,Milton,MILNWS,1885,2015,1572,0,1.0
Connecticut River,CONNECTICUT,Montague,MON305,1937,2019,996,0,1.0
Connecticut River,CHICOPEE,Monson,MON323,1885,2019,1452,0,1.0
Cape Cod and Islands,ISLANDS,Nantucket,NAN920,1991,2015,300,75,0.75
Northeast,CONCORD,Natick,NATNWS,1852,2015,1968,0,1.0
Northeast,CHARLES,Needham,NEE716,1937,2019,996,0,1.0
Connecticut River,CHICOPEE,New Salem,NEW308,1941,2015,900,0,1.0
Connecticut River,CHICOPEE,New Salem,NEW311,1919,2015,1164,0,1.0
Central,CHICOPEE,New Braintree,NEW422,1929,2015,1044,0,1.0
Northeast,MERRIMACK,Newburyport,NEW602,1913,2019,1284,0,1.0
Southeast,BUZZARDS BAY,New Bedford,NEW817,1930,2015,1032,0,1.0
Northeast,MERRIMACK,Salisbury,NEWNWS,1991,2015,300,50,0.8333333333333334
Western,HUDSON,North Adams,NOR102,1994,2015,264,0,1.0
Connecticut River,CONNECTICUT,Mount Hermon,NOR301,1931,2019,1068,0,1.0
Central,BLACKSTONE,Whitinsville,NOR514,1872,2015,1728,0,1.0
Western,FARMINGTON,Monterey,OTI111,1913,2015,1236,1236,0.0
Western,FARMINGTON,Pittsfield,OTI115,1913,2019,1284,0,1.0
Connecticut River,CHICOPEE,Three Rivers,PAL319,1921,2015,1116,0,1.0
Northeast,IPSWICH,Peabody,PEA612,1903,2019,1368,0,1.0
Connecticut River,CONNECTICUT,Pelham,PEL313,1994,2015,264,0,1.0
Southeast,SOUTH COASTAL,Pembroke,PEM804,1987,2019,396,0,1.0
Northeast,NASHUA,Pepperell,PEP503,1935,1997,756,0,1.0
Northeast,NASHUA,Pepperell,PEPNWS,1991,1997,84,0,1.0
Central,MILLERS,Petersham,PET408,1916,2015,1200,0,1.0
Central,CHICOPEE,Petersham,PET409,1939,2015,924,0,1.0
Central,MILLERS,Petersham,PETNWS,1991,1996,72,6,0.9166666666666666
Western,HOUSATONIC,Pittsfield,PIT105,1994,2015,252,0,1.0
Western,HOUSATONIC,Pittsfield,PIT106,1997,2015,216,216,0.0
Connecticut River,WESTFIELD,Plainfield,PLA205,1919,2015,1164,0,1.0
Southeast,SOUTH COASTAL,Plymouth,PLY811,1898,2015,1416,0,1.0
Southeast,SOUTH COASTAL,North Plymouth,PLYNWS,1886,2015,1500,0,1.0
Central,NASHUA,Princeton,PRI412,1984,2017,408,0,1.0
Central,NASHUA,Princeton,PRIMDC,1963,2015,636,0,1.0
Northeast,BOSTON HARBOR,Reading,REANWS,1899,2015,1404,0,1.0
Southeast,SOUTH COASTAL,Rockland,ROC745,1987,2019,396,165,0.5833333333333333
Northeast,NORTH COASTAL,Rockport,ROCACO,1995,1996,24,4,0.8333333333333334
Southeast,TAUNTON,East Freetown,ROCNWS,1895,2015,1452,0,1.0
Central,CHICOPEE,South Barre,RUT417,1927,2015,1068,0,1.0
Central,NASHUA,Rutland,RUT418,1931,2015,1020,85,0.9166666666666666
Northeast,NORTH COASTAL,Salem,SAL613,1910,2015,1272,0,1.0
Cape Cod and Islands,CAPE COD,Sandwich,SAN905,1997,2019,264,0,1.0
Cape Cod and Islands,CAPE COD,Sandwich,SAN915,1993,2019,324,0,1.0
Southeast,SOUTH COASTAL,Scituate,SCI733,1930,2019,1080,720,0.33333333333333337
Connecticut River,DEERFIELD,Shelburne Falls,SHL204,1992,1997,72,0,1.0
