,COH,LYN,WEY
slope,0.04001084882550203,0.10278833774688854,0.0629772942422205
intercept,0.27359077545200794,0.18815077139766606,0.29888689055952516
rvalue,0.1275679437096917,0.17793733699619743,0.17073482062994044
pvalue,0.021030840700079018,0.0009497520999502408,0.0031095811220917795
stderr,0.01725566484947505,0.03082839063374474,0.02112477160657995
