Region,Basin Name,CITY,STATION
Southeast,SOUTH COASTAL,Rockland,ROC745
Northeast,NORTH COASTAL,Rockport,ROCACO
Southeast,TAUNTON,East Freetown,ROCNWS
Central,CHICOPEE,South Barre,RUT417
Central,NASHUA,Rutland,RUT418
Northeast,NORTH COASTAL,Salem,SAL613
Cape Cod and Islands,CAPE COD,Sandwich,SAN905
Cape Cod and Islands,CAPE COD,Sandwich,SAN915
Southeast,SOUTH COASTAL,Scituate,SCI733
Connecticut River,DEERFIELD,Shelburne Falls,SHL204
Central,QUINEBAUG,Southbridge,SOU430
Central,NASHUA,Sterling,STEMDC
Western,HOUSATONIC,Stockbridge,STO109
Western,HOUSATONIC,Chester,STO110
Northeast,CONCORD,Sudbury,SUD518
Connecticut River,CONNECTICUT,Sunderland,SUNNWS
Southeast,TAUNTON,Taunton,TAU806
Southeast,TAUNTON,Taunton,TAUNW2
Southeast,TAUNTON,Taunton,TAUNWS
Connecticut River,MILLERS,Baldwinville,TEM403
Central,MILLERS,Templeton,TEM405
Cape Cod and Islands,ISLANDS,Vineyard Haven,TIS906
Northeast,IPSWICH,Topsfield,TOP607
Central,MILLERS,Athol,TULCOE
Central,BLACKSTONE,Uxbridge,UXB515
Northeast,NORTH COASTAL,Wakefield,WAK706
Northeast,CHARLES,Waltham,WAL709
Southeast,BOSTON HARBOR,Walpole,WAL731
Connecticut River,CHICOPEE,Ware Center,WAR315
Central,CHICOPEE,Warren,WAR427
Southeast,BUZZARDS BAY,Onset,WAR815
Connecticut River,CHICOPEE,Ware,WARNWS
Western,,West Otis,WES101
Connecticut River,WESTFIELD,Westfield,WES218
Connecticut River,WESTFIELD,Westfield,WES219
Connecticut River,WESTFIELD,West Springfield,WES221
Northeast,MERRIMACK,Westford,WES507
Northeast,CONCORD,Westboro,WES508
Central,NASHUA,West Boylston,WES509
Central,BLACKSTONE,Uxbridge,WESCOE
Northeast,BOSTON HARBOR,Weymouth,WEY738
Connecticut River,FARMINGTON,Granville,WGRNWS
Western,HUDSON,Williamstown,WIL101
Western,HUDSON,Williamstown,WIL103
Connecticut River,CONNECTICUT,Williamsburg,WIL210
Northeast,IPSWICH,Wilmington,WIL703
Western,HOUSATONIC,Windsor,WIN107
Central,MILLERS,Winchendon,WIN402
Northeast,BOSTON HARBOR,Winchester,WIN705
Northeast,BOSTON HARBOR,Woburn,WOB702
Connecticut River,WESTFIELD,Worthington,WOR208
Central,BLACKSTONE,Worcester,WORNWS
Southeast,CHARLES,Wrentham,WRE729
Southeast,BLACKSTONE,Wrentham,WRE730
Cape Cod and Islands,CAPE COD,West Yarmouth,YAR911
